,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
2620,Celery,2015-12-06,$1.44,$2.01,$1.86,$1.64,$1.74,25.87%
2621,Flame Grapes,2015-12-06,$0.94,$3.21,$2.61,$3.49,$2.74,220.48%
2622,Green Leaf Lettuce,2015-12-06,$0.72,$1.65,$1.42,$1.67,$1.75,125.35%
2623,Iceberg Lettuce,2015-12-06,$0.96,$1.49,$1.74,$1.77,$1.76,76.04%
2624,Oranges,2015-12-06,$0.50,$1.61,$1.27,$1.29,$1.65,191.00%
2625,Romaine Lettuce,2015-11-29,$0.95,$2.73,$1.98,$1.67,$2.22,126.32%
2626,Broccoli Crowns,2015-11-29,$1.46,$2.04,$1.82,$2.09,$1.33,24.66%
2627,Strawberries,2015-11-29,$3.38,$4.99,$5.74,$4.99,$4.49,49.48%
2628,Carrots,2015-11-29,$0.31,$0.88,$0.91,$0.99,$1.07,210.48%
2629,Cauliflower,2015-11-29,$3.76,$2.88,$3.48,$3.88,$3.99,-5.39%
2630,Celery,2015-11-29,$1.17,$2.21,$1.59,$1.52,$1.74,50.85%
2631,Flame Grapes,2015-11-29,$0.92,$2.79,$2.49,$3.24,$2.86,209.24%
2632,Green Leaf Lettuce,2015-11-29,$0.97,$1.62,$1.48,$1.64,$1.79,68.30%
2633,Iceberg Lettuce,2015-11-29,$1.46,$1.49,$1.57,$1.67,$1.76,11.13%
2634,Oranges,2015-11-29,$0.50,$1.51,$1.27,$0.92,$1.85,177.50%
2635,Potatoes,2015-11-29,$1.15,$5.74,$3.63,$3.99,$3.99,277.17%
2636,Red Leaf Lettuce,2015-11-29,$0.86,$1.65,$1.62,$1.64,$1.90,97.97%
2637,Broccoli Bunches,2015-11-29,$1.51,$2.75,$2.24,$1.59,$2.74,54.30%
2638,Cauliflower,2015-11-22,$3.55,$3.26,$3.08,$3.25,$3.99,-4.37%
2639,Celery,2015-11-22,$1.11,$2.13,$1.13,$1.52,$1.41,39.41%
2640,Flame Grapes,2015-11-22,$1.00,$3.24,$2.06,$2.49,$2.36,153.75%
2641,Green Leaf Lettuce,2015-11-22,$1.05,$1.65,$1.34,$1.57,$1.69,48.81%
2642,Iceberg Lettuce,2015-11-22,$1.50,$1.49,$1.44,$1.67,$1.76,6.00%
2643,Oranges,2015-11-22,$0.53,$1.75,$1.27,$1.07,$1.85,180.19%
2644,Potatoes,2015-11-22,$1.15,$4.62,$3.88,$3.99,$3.75,253.04%
2645,Red Leaf Lettuce,2015-11-22,$0.93,$1.55,$1.66,$1.57,$1.79,76.61%
2646,Romaine Lettuce,2015-11-22,$1.26,$1.69,$2.08,$1.67,$2.05,48.61%
2647,Broccoli Crowns,2015-11-22,$1.50,$2.04,$1.82,$1.89,$1.63,23.00%
2648,Strawberries,2015-11-22,$3.75,$5.32,$5.49,$4.99,$5.66,43.07%
2649,Carrots,2015-11-22,$0.31,$0.92,$0.90,$0.99,$1.14,218.55%
2650,Broccoli Bunches,2015-11-22,$1.66,$2.22,$2.15,$1.29,$2.74,26.51%
2651,Flame Grapes,2015-11-15,$1.01,$2.69,$1.74,$2.42,$2.74,137.38%
2652,Green Leaf Lettuce,2015-11-15,$0.94,$1.36,$1.44,$1.57,$1.61,59.04%
2653,Iceberg Lettuce,2015-11-15,$1.42,$1.36,$1.44,$1.62,$1.86,10.56%
2654,Oranges,2015-11-15,$0.55,$1.52,$1.23,$1.07,$1.78,154.55%
2655,Potatoes,2015-11-15,$1.15,$6.10,$3.84,$3.74,$4.47,294.57%
2656,Red Leaf Lettuce,2015-11-15,$0.87,$1.25,$1.58,$1.57,$1.79,77.87%
2657,Broccoli Bunches,2015-11-15,$1.43,$2.54,$2.15,$1.19,$2.65,49.13%
2658,Romaine Lettuce,2015-11-15,$1.15,$1.69,$1.93,$1.73,$2.07,61.30%
2659,Broccoli Crowns,2015-11-15,$1.32,$2.19,$1.70,$1.84,$1.48,36.55%
2660,Strawberries,2015-11-15,$3.75,$4.49,$4.99,$4.99,$5.49,33.07%
2661,Carrots,2015-11-15,$0.31,$1.09,$0.90,$0.99,$1.04,224.19%
2662,Cauliflower,2015-11-15,$3.06,$3.09,$3.06,$3.04,$3.49,3.59%
2663,Celery,2015-11-15,$1.11,$1.64,$1.31,$1.34,$1.49,30.18%
2664,Oranges,2015-11-08,$0.55,$1.68,$1.44,$1.07,$1.79,171.82%
2665,Broccoli Bunches,2015-11-08,$0.87,$2.39,$2.15,$1.49,$2.65,149.43%
2666,Potatoes,2015-11-08,$1.15,$5.34,$3.84,$3.99,$4.46,283.26%
2667,Broccoli Crowns,2015-11-08,$0.92,$2.15,$1.70,$1.84,$1.83,104.35%
2668,Red Leaf Lettuce,2015-11-08,$0.65,$1.69,$1.50,$1.57,$1.84,153.85%
2669,Cantaloupe,2015-11-08,$0.87,$4.49,$3.06,$2.85,$3.31,293.97%
2670,Romaine Lettuce,2015-11-08,$0.96,$1.56,$1.95,$1.67,$2.27,94.01%
2671,Carrots,2015-11-08,$0.31,$0.94,$0.90,$0.99,$1.07,214.52%
2672,Strawberries,2015-11-08,$3.00,$3.74,$3.42,$4.24,$4.99,36.58%
2673,Cauliflower,2015-11-08,$2.40,$3.31,$3.06,$3.18,$3.24,33.23%
2674,Celery,2015-11-08,$0.97,$1.79,$1.76,$1.79,$1.86,85.57%
2675,Flame Grapes,2015-11-08,$0.94,$2.56,$2.36,$2.19,$2.36,151.86%
2676,Green Leaf Lettuce,2015-11-08,$0.71,$1.61,$1.34,$1.57,$1.73,120.07%
2677,Honeydews,2015-11-08,$1.42,$4.49,$3.65,$3.97,$4.74,196.65%
2678,Iceberg Lettuce,2015-11-08,$1.17,$1.36,$1.44,$1.67,$1.44,26.28%
2679,Cantaloupe,2015-11-01,$0.87,$2.76,$3.06,$2.47,$3.37,235.06%
2680,Strawberries,2015-11-01,$2.56,$3.99,$3.26,$3.99,$4.66,55.27%
2681,Carrots,2015-11-01,$0.31,$1.09,$0.91,$0.99,$1.13,232.26%
2682,Cauliflower,2015-11-01,$1.55,$3.09,$3.14,$3.58,$4.11,124.52%
2683,Celery,2015-11-01,$0.87,$1.81,$1.86,$1.79,$1.86,110.34%
2684,Flame Grapes,2015-11-01,$0.94,$2.44,$1.49,$2.12,$2.99,140.43%
2685,Green Leaf Lettuce,2015-11-01,$0.52,$1.36,$1.40,$1.54,$1.65,186.06%
2686,Honeydews,2015-11-01,$1.54,$4.49,$3.65,$3.97,$4.74,173.54%
2687,Iceberg Lettuce,2015-11-01,$1.05,$1.36,$1.45,$1.67,$1.86,50.95%
2688,Oranges,2015-11-01,$0.55,$1.52,$1.31,$1.42,$1.95,181.82%
2689,Broccoli Bunches,2015-11-01,$0.81,$2.54,$2.24,$1.49,$2.65,175.31%
2690,Red Leaf Lettuce,2015-11-01,$0.46,$1.25,$1.53,$1.54,$1.79,232.07%
2691,Broccoli Crowns,2015-11-01,$0.79,$2.35,$1.62,$1.84,$1.83,141.77%
2692,Romaine Lettuce,2015-11-01,$0.83,$1.69,$1.85,$1.74,$2.39,131.02%
2693,Flame Grapes,2015-10-25,$0.94,$2.32,$1.49,$2.12,$2.23,117.02%
2694,Green Leaf Lettuce,2015-10-25,$0.43,$1.61,$1.34,$1.57,$1.63,257.56%
2695,Honeydews,2015-10-25,$1.54,$4.49,$3.65,$3.97,$4.74,173.54%
2696,Iceberg Lettuce,2015-10-25,$0.99,$1.36,$1.44,$1.67,$1.61,53.54%
2697,Oranges,2015-10-25,$0.54,$1.68,$1.44,$1.47,$1.95,202.78%
2698,Broccoli Bunches,2015-10-25,$0.95,$2.42,$2.15,$1.66,$2.65,133.68%
2699,Red Leaf Lettuce,2015-10-25,$0.38,$1.69,$1.50,$1.57,$1.73,326.97%
