,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
182,Oranges,2019-02-10,$0.41,$1.72,$1.64,$0.99,$1.97,285.37%
183,Strawberries,2019-02-10,$2.25,$2.99,$3.36,$3.96,$3.36,51.89%
184,Romaine Lettuce,2019-02-10,$0.40,$1.89,$2.20,$1.52,$1.86,366.88%
185,Red Leaf Lettuce,2019-02-10,$0.46,$2.32,$1.98,$1.74,$1.97,335.33%
186,Potatoes,2019-02-10,$1.70,$4.72,$4.47,$3.99,$5.47,174.26%
187,Iceberg Lettuce,2019-02-10,$0.41,$1.51,$1.56,$1.52,$1.81,290.24%
188,Green Leaf Lettuce,2019-02-10,$0.42,$2.32,$1.90,$1.74,$1.91,368.45%
189,Celery,2019-02-10,$1.72,$1.62,$1.79,$1.99,$2.07,8.58%
190,Cauliflower,2019-02-10,$2.27,$2.62,$3.46,$3.78,$2.99,41.52%
191,Carrots,2019-02-10,$0.30,$1.11,$0.92,$0.99,$1.05,239.17%
192,Broccoli Crowns,2019-02-10,$0.63,$2.22,$1.80,$1.99,$1.59,201.59%
193,Broccoli Bunches,2019-02-10,$1.14,$1.78,$2.49,$1.49,$1.89,67.76%
194,Avocados,2019-02-10,$0.52,$0.89,$0.99,$1.25,$1.34,114.90%
195,Romaine Lettuce,2019-02-03,$0.35,$1.99,$2.20,$1.59,$1.86,445.71%
196,Red Leaf Lettuce,2019-02-03,$0.44,$2.32,$1.98,$1.74,$2.00,356.82%
197,Potatoes,2019-02-03,$1.70,$4.72,$4.47,$3.99,$5.47,174.26%
198,Oranges,2019-02-03,$0.41,$1.55,$1.59,$0.99,$1.65,252.44%
199,Iceberg Lettuce,2019-02-03,$0.40,$1.51,$1.31,$1.42,$2.06,293.75%
